Physic_1,Physic_2,Physic_3,Physic_4
193,12,191,12
194,12,192,12
195,12,192,12
195,12,192,12
196,12,194,12
196,12,194,12
196,12,195,12
197,12,196,12
199,12,197,12
198,12,197,12
200,12,198,12
202,12,200,12
202,12,201,12
203,12,201,12
204,12,201,12
205,12,201,12
205,12,203,12
205,12,203,12
206,12,204,12
206,12,204,12
207,12,204,13
206,13,205,12
204,13,204,12
205,13,205,13
207,13,205,13
207,13,207,12
208,13,208,12
210,13,208,13
210,13,208,13
210,13,209,12
210,13,209,12
209,13,209,13
211,13,209,13
210,13,211,12
210,13,209,13
210,13,210,13
209,13,210,13
211,13,209,13
212,13,210,13
210,13,213,13
209,13,217,13
211,13,222,13
212,13,214,13
212,13,202,13
212,13,204,13
212,13,208,13
210,13,206,13
211,13,207,13
212,13,210,13
210,13,211,13
211,13,208,13
211,13,209,13
210,13,212,13
211,13,213,13
211,13,212,13
211,13,211,13
211,13,208,13
211,13,208,13
212,13,213,13
209,13,213,13
211,13,209,13
211,13,208,13
209,13,210,13
211,13,211,13
211,13,210,13
211,13,211,13
211,13,209,13
211,13,208,13
211,13,211,13
212,13,211,13
211,13,208,13
211,13,209,13
212,13,210,13
211,13,210,13
211,13,210,13
211,13,211,13
211,13,209,13
211,13,210,13
211,13,212,13
211,13,211,13
212,13,211,13
211,13,213,13
212,13,211,13
213,13,210,13
212,13,211,13
213,13,211,13
212,13,210,13
212,13,211,13
212,13,211,13
212,13,211,13
212,13,211,13
212,13,211,13
212,13,211,13
212,13,212,13
212,13,213,13
212,13,213,13
212,13,213,13
213,13,213,13
213,13,212,13
213,13,211,13
213,13,211,13
213,13,211,13
212,13,211,13
212,13,212,13
212,13,211,13
212,13,211,13
212,13,212,13
212,13,212,13
213,13,211,13
212,13,212,13
213,13,213,13
213,13,212,13
213,13,211,13
212,13,211,13
212,13,211,13
211,13,212,13
211,13,211,13
211,13,211,13
211,13,211,13
211,13,211,13
211,13,211,13
210,13,210,13
211,13,210,13
211,13,211,13
211,13,211,13
211,13,210,13
211,13,208,13
210,13,208,13
209,13,209,13
208,13,209,13
208,13,208,13
208,13,208,12
207,13,207,13
207,12,207,12
206,12,206,12
207,12,206,12
206,12,206,12
206,12,207,12
207,12,206,12
206,12,206,12
206,12,205,12
205,12,203,12
204,12,202,12
202,12,203,12
203,12,202,12
202,12,202,12
201,12,201,12
201,12,201,12
199,12,200,12
199,12,200,12
199,12,199,12
198,12,199,12
198,12,199,12
198,12,198,12
198,12,197,12
197,12,196,12
197,12,195,12
196,12,194,12
195,12,194,12
195,12,194,12
194,12,193,12
194,12,193,12
193,12,194,12
193,12,193,12
193,12,193,12
192,12,192,12
192,12,192,12
191,12,192,11
191,12,192,11
192,12,190,11
191,11,189,11
190,11,188,11
190,11,188,11
188,11,188,11
188,11,187,11
188,11,187,11
187,11,186,11
187,11,185,11
185,11,186,11
185,11,184,11
184,11,184,11
184,11,184,11
183,11,184,11
183,11,183,11
182,11,183,11
182,11,182,11
182,11,180,11
181,11,180,11
180,11,179,11
179,11,179,11
179,11,178,11
178,11,178,11
177,11,176,10
176,11,175,11
176,11,175,11
176,10,175,10
175,10,174,10
174,10,174,10
174,10,174,10
173,10,174,10
173,10,173,10
172,10,172,10
171,10,170,10
171,10,170,10
171,10,169,10
170,10,169,10
169,10,170,10
167,10,169,10
167,10,168,10
167,10,166,10
166,10,166,10
166,10,166,10
165,10,165,10
164,10,164,10
164,10,164,10
163,10,164,10
163,10,164,10
162,10,162,10
162,10,161,10
163,10,161,10
161,10,161,10
161,10,160,10
160,9,158,10
157,9,158,9
157,10,158,9
160,10,158,9
160,9,157,9
157,9,156,9
157,9,154,9
158,9,154,9
155,9,154,9
155,9,154,9
155,9,153,9
152,9,153,9
153,9,152,9
152,9,152,9
151,9,151,9
149,9,153,9
148,9,150,9
148,9,148,9
146,9,148,9
148,9,147,9
147,9,147,9
144,9,146,9
144,8,144,8
143,8,142,8
142,8,143,8
141,8,142,8
141,8,141,8
141,8,140,8
139,8,137,8
140,8,132,8
139,8,131,8
137,8,135,8
135,8,135,8
138,8,133,8
140,8,136,8
137,8,136,8
137,8,136,8
139,8,137,8
