Physic_1,Physic_2,Physic_3,Physic_4
220,27,23,62
224,28,24,63
222,30,24,56
200,28,25,47
185,25,25,42
171,24,25,40
151,24,26,35
128,23,26,34
111,21,26,34
105,22,26,37
104,23,26,37
105,22,26,38
107,22,26,38
109,22,26,38
110,22,26,38
111,22,26,38
112,22,26,38
112,22,26,38
113,21,26,36
104,21,26,34
92,21,26,33
82,21,26,33
77,20,26,33
73,19,26,34
72,19,26,34
71,19,26,34
68,19,25,33
66,19,25,33
65,18,25,33
64,18,25,33
64,18,24,33
64,18,24,33
64,18,24,33
63,17,23,33
63,17,23,33
63,17,23,33
63,17,23,33
63,17,22,33
63,16,22,33
63,16,22,33
64,16,21,33
64,16,21,33
65,16,20,33
65,15,20,33
65,15,20,33
66,15,19,33
67,15,19,33
68,14,19,33
69,14,18,33
70,14,17,33
71,14,17,33
72,13,16,33
73,13,16,33
75,13,16,33
77,13,16,33
78,13,16,33
78,13,16,33
78,13,17,33
78,13,16,33
78,13,16,33
78,13,16,33
78,13,16,33
78,13,16,33
78,13,16,33
78,13,16,33
78,13,16,35
86,13,16,39
103,14,16,44
132,15,16,47
168,17,16,49
188,20,16,49
195,23,16,51
203,24,16,52
207,25,17,52
208,25,17,53
206,26,18,53
204,27,18,53
202,27,18,52
199,27,19,50
193,27,19,46
179,26,20,42
161,25,20,38
143,23,20,36
125,22,20,34
109,20,21,35
105,18,21,36
104,17,21,36
103,17,21,36
101,17,21,34
94,17,21,33
87,17,20,33
83,16,20,33
79,16,20,33
77,15,20,33
75,15,20,33
73,15,20,33
72,15,20,33
71,15,20,33
70,15,20,33
69,15,20,33
69,15,20,33
68,15,20,33
68,15,20,33
67,15,20,33
67,15,20,33
67,15,20,33
67,15,20,33
67,15,19,33
67,15,19,33
67,15,19,33
67,15,19,33
67,15,19,33
68,15,19,33
68,15,19,33
68,14,19,33
69,14,19,33
69,14,19,33
69,14,19,33
69,14,19,33
70,14,19,33
70,14,19,33
70,14,19,33
71,14,18,33
71,14,18,33
72,14,18,33
72,14,18,33
73,14,18,33
73,14,18,33
73,14,18,33
74,14,17,33
74,13,16,33
74,13,16,33
75,13,15,33
