Physic_1,Physic_2,Physic_3
120,1,85
126,1,87
128,1,86
129,1,78
129,1,72
131,1,66
134,1,59
133,1,50
130,1,43
130,1,41
129,1,40
128,1,40
125,1,41
122,1,42
120,1,43
119,1,43
120,1,43
121,1,43
122,1,44
125,1,40
128,1,35
128,1,32
129,0,30
129,0,28
128,0,28
128,0,27
128,0,26
128,0,26
128,0,25
127,0,25
127,0,25
127,1,25
128,1,24
127,1,24
126,1,24
126,1,24
125,2,24
124,2,24
124,2,24
123,2,24
123,2,24
123,2,25
123,2,25
123,3,25
123,3,25
123,3,25
123,3,26
123,3,26
124,3,27
124,3,27
124,3,27
124,3,28
124,3,28
124,3,29
123,3,30
123,3,30
123,3,30
123,3,30
123,3,30
122,2,30
121,2,30
121,2,30
121,2,30
121,2,30
121,2,30
121,2,30
122,2,33
122,1,40
122,1,51
122,0,65
120,0,73
119,1,76
122,1,79
126,1,81
128,1,81
130,1,80
131,1,79
132,1,78
132,1,77
132,1,75
132,1,69
132,1,63
133,1,56
137,1,48
135,0,42
132,0,41
130,1,40
128,1,40
128,1,39
126,2,36
124,2,34
124,2,32
124,2,30
124,3,29
124,3,29
125,3,28
126,3,28
126,3,27
127,3,27
128,3,27
128,3,26
128,3,26
128,3,26
128,3,26
128,3,26
128,3,26
129,3,26
129,3,26
129,3,26
128,3,26
128,3,26
128,3,26
128,3,26
128,3,26
128,3,26
128,3,26
128,3,26
127,3,27
126,3,27
126,3,27
126,3,27
126,3,27
125,3,27
125,3,27
125,3,28
125,3,28
124,3,28
124,3,28
124,3,28
124,3,28
124,3,28
124,3,29
124,3,29
124,3,29
124,3,29
124,3,30
124,3,31
124,3,32
124,3,33
124,3,33
123,3,33
123,3,32
123,3,32
122,3,32
121,3,32
121,3,33
121,3,34
122,3,34
122,3,35
123,3,34
123,3,34
123,3,35
123,3,35
122,3,36
123,2,36
123,2,36
123,3,36
123,3,36
123,3,35
123,3,35
123,3,36
122,3,36
123,2,36
124,2,36
124,2,36
124,2,37
124,2,40
124,2,41
124,2,42
124,1,43
123,1,44
123,1,44
122,1,45
122,1,45
121,2,46
121,2,46
120,2,46
120,2,47
120,2,48
119,2,48
120,2,49
120,2,50
122,2,52
122,2,54
123,1,56
125,1,61
126,1,65
128,0,68
129,0,69
129,1,69
130,1,71
132,1,71
133,1,72
133,1,72
133,1,72
133,1,73
133,1,73
134,1,73
134,1,75
134,1,75
133,1,75
133,1,74
133,1,74
134,1,74
134,1,74
135,1,74
134,1,74
134,1,74
134,1,76
134,1,76
133,1,77
133,1,76
132,0,69
131,0,58
134,1,50
133,0,43
133,0,39
132,0,37
130,1,35
128,1,33
126,1,31
124,1,29
122,1,29
121,1,31
121,1,33
121,1,34
119,0,35
117,0,36
116,0,36
116,0,37
116,0,38
117,0,38
119,0,38
120,0,38
122,0,39
123,0,39
123,0,40
125,0,40
125,0,41
125,1,42
126,1,43
126,1,44
127,1,45
127,1,45
127,1,46
127,1,47
126,1,47
126,1,48
126,1,48
126,1,48
127,0,48
127,0,48
128,0,48
128,0,48
128,0,48
128,0,48
129,0,44
130,0,38
131,0,35
131,0,33
131,1,31
131,1,30
130,1,30
128,1,29
128,1,28
128,1,27
128,2,26
127,2,26
127,2,26
128,2,25
128,2,25
128,2,25
128,2,25
128,2,25
128,2,25
128,2,25
128,2,25
129,2,25
129,3,25
129,3,25
129,3,26
130,3,26
130,3,26
129,3,26
129,3,27
129,3,27
128,2,28
128,2,29
128,3,29
128,3,30
128,3,30
128,3,31
127,3,31
127,3,32
126,3,33
125,2,34
125,2,34
124,2,35
124,2,36
123,2,37
123,2,37
122,2,37
122,3,37
122,3,36
121,3,36
122,2,36
121,2,37
122,2,37
122,2,37
123,2,37
123,2,37
123,2,38
123,2,38
123,2,37
123,2,39
123,2,41
123,2,42
123,1,44
122,1,47
122,1,50
122,1,54
121,1,58
121,1,62
121,1,65
123,0,67
126,0,68
127,0,68
128,1,69
129,1,69
131,1,70
132,1,70
131,1,70
131,1,71
131,1,71
132,1,71
132,1,71
131,1,71
131,1,71
131,1,68
131,1,61
131,1,52
132,0,46
131,1,42
131,1,40
130,2,40
130,2,41
128,2,40
128,2,38
126,2,36
124,2,35
123,3,34
122,3,33
122,3,32
122,3,32
122,3,32
122,3,32
123,3,32
123,3,33
124,3,33
124,3,34
124,2,35
124,2,37
124,2,38
124,2,39
123,2,39
122,2,39
121,2,38
120,2,38
119,2,38
119,2,40
119,2,42
120,2,44
120,2,46
121,1,60
121,1,76
120,0,88
119,1,92
121,1,93
126,1,91
128,1,90
129,1,90
130,1,90
131,1,90
132,1,89
132,1,84
132,1,75
132,1,73
133,1,71
131,1,71
131,1,71
131,1,71
130,1,70
129,1,69
128,1,59
128,1,49
129,1,44
129,0,39
129,1,38
128,1,39
127,1,38
125,2,36
122,2,34
121,2,32
119,3,31
119,3,30
119,3,29
120,3,29
120,3,28
121,3,28
122,3,28
122,3,27
123,3,27
123,3,27
123,3,27
123,3,27
124,3,27
124,3,27
124,3,27
124,3,27
124,3,28
124,3,28
124,3,28
124,3,28
124,3,28
123,3,29
123,3,29
123,3,29
123,3,29
123,3,29
123,3,30
123,3,30
122,3,30
122,3,30
122,3,30
121,3,30
121,3,30
121,3,30
121,3,30
121,2,31
121,2,34
121,2,37
121,2,40
121,1,43
120,1,48
119,1,53
118,1,57
117,1,63
119,0,66
122,0,67
125,1,68
127,1,69
128,1,69
129,1,70
130,1,70
130,1,70
130,1,71
130,1,71
131,1,71
131,1,65
131,1,55
131,1,46
132,0,42
132,1,41
131,1,41
130,1,41
129,1,39
128,2,39
128,1,41
126,1,43
124,1,44
123,1,41
122,2,38
123,2,35
125,2,33
125,2,33
127,2,34
128,2,33
129,2,32
129,2,33
129,2,35
128,2,37
128,2,40
128,1,42
126,1,44
124,1,46
122,2,48
120,2,49
118,2,50
118,2,52
118,1,53
119,1,55
120,1,56
124,1,56
125,1,57
127,1,57
128,1,57
129,1,58
130,1,58
130,1,59
129,1,59
129,1,58
129,1,58
129,1,58
129,1,58
129,1,58
129,1,58
129,0,58
129,0,58
128,0,58
128,0,57
129,0,57
129,0,57
129,0,56
129,0,56
130,0,55
130,0,55
131,0,54
132,0,49
132,1,44
132,1,41
133,2,39
133,2,39
133,2,38
132,2,37
131,2,35
129,2,33
128,2,32
128,3,32
127,3,31
127,3,30
127,3,30
127,3,30
127,3,29
128,3,29
128,3,29
128,3,29
128,3,29
128,3,29
128,3,29
128,3,29
128,3,29
127,3,29
127,3,29
127,3,29
127,2,29
127,3,29
127,3,29
127,3,29
127,3,29
126,3,29
126,3,30
126,2,30
126,2,32
126,1,36
126,1,41
126,2,45
125,1,49
122,1,54
121,1,58
121,0,61
122,0,62
126,0,63
127,0,63
128,1,64
129,1,64
130,1,65
131,1,64
132,1,56
132,1,47
131,0,43
130,1,40
130,1,40
130,2,40
130,2,40
129,2,38
128,2,37
127,2,35
126,2,34
