Physic_1,Physic_2,Physic_3,Physic_4,Physic_5
141,27,141,20,23
142,27,142,20,23
142,27,142,20,24
142,27,142,20,24
143,27,143,20,24
143,28,143,20,24
143,28,143,20,24
143,28,143,20,24
143,28,143,20,24
143,28,143,20,24
143,28,143,20,24
143,29,143,20,24
142,29,142,20,24
142,29,142,20,24
142,29,142,20,24
143,29,143,20,24
143,29,143,20,24
142,29,142,20,24
142,30,142,20,24
139,30,139,20,24
136,30,136,20,24
136,30,136,20,24
130,29,130,21,24
128,29,128,21,24
128,29,128,21,25
121,29,121,21,25
119,29,119,21,25
119,28,119,21,25
113,28,113,21,25
113,28,113,21,25
111,28,111,21,25
103,27,103,21,25
103,27,103,21,25
100,27,100,21,25
100,26,100,21,25
96,26,96,21,25
96,25,96,21,25
94,25,94,21,25
94,25,94,21,25
91,25,91,21,25
89,25,89,21,25
89,24,89,21,25
93,24,93,21,25
93,24,93,21,25
91,24,91,21,25
91,24,91,21,25
93,24,93,21,25
91,24,91,21,25
88,24,88,21,25
85,24,85,21,25
82,24,82,21,25
79,24,79,21,25
76,24,76,21,25
73,24,73,21,25
70,24,70,21,25
66,24,66,21,25
64,24,64,21,25
60,24,60,21,25
57,24,57,21,25
54,24,54,21,26
52,24,52,22,26
49,24,49,22,26
46,24,46,22,26
44,24,44,22,26
42,24,42,22,26
39,23,39,22,26
37,23,37,22,26
34,23,34,22,26
34,23,34,22,26
33,23,33,22,26
33,23,33,22,26
31,22,31,22,26
31,22,31,23,26
30,22,30,23,26
29,22,29,23,26
29,21,29,23,26
28,21,28,23,26
27,21,27,23,26
36,21,36,23,26
45,21,45,23,26
46,21,46,23,26
49,21,49,23,26
43,21,43,23,26
44,21,44,23,26
46,22,46,23,26
46,22,46,23,26
46,22,46,23,26
46,22,46,23,26
46,22,46,23,26
47,22,47,23,26
47,22,47,23,26
47,22,47,23,26
47,22,47,23,26
48,22,48,23,26
48,23,48,23,26
50,23,50,23,26
50,23,50,24,26
50,23,50,24,26
50,23,50,24,26
49,23,49,24,26
49,23,49,24,26
49,23,49,24,26
49,22,49,24,26
47,22,47,24,26
47,22,47,24,26
48,22,48,24,26
48,22,48,24,26
47,22,47,24,26
47,22,47,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,24,26
48,22,48,23,26
