timestamp,Physic_1,Physic_2,Physic_3,Physic_4
9.49,74,141,142,24
10.5,72,141,142,24
9.97,73,142,142,24
10.03,73,142,142,24
9.5,71,142,141,24
10.51,72,143,141,24
9.74,72,143,141,24
10.25,72,143,141,24
9.51,70,143,141,24
10.49,70,143,141,24
10.77,70,143,140,25
9.63,70,143,140,25
9.07,70,143,137,25
10.53,70,142,137,25
9.71,68,142,127,25
10.49,68,142,127,25
9.27,68,143,114,25
10.53,68,143,114,25
9.72,68,142,108,26
10.4,68,142,108,26
9.38,66,139,102,26
10.72,64,136,102,27
10.81,64,136,94,27
9.06,61,130,95,27
9.41,57,128,85,27
10.69,57,128,85,27
9.04,54,121,77,28
10.82,51,119,77,28
9.42,54,119,62,28
10.66,51,113,62,28
9.36,38,113,45,28
10.51,37,111,45,28
9.72,39,103,30,28
10.28,33,103,30,28
9.48,35,100,12,27
10.49,36,100,12,27
9.5,36,96,12,27
10.64,32,96,12,27
9.35,31,94,12,26
10.5,33,94,12,26
9.53,32,91,13,26
11.62,30,89,13,26
8.38,31,89,13,26
10.74,32,93,14,26
9.47,34,93,14,26
10.45,34,91,14,26
9.31,34,91,14,25
10.57,35,93,14,25
9.44,37,91,14,25
10.47,36,88,14,25
9.56,33,85,14,25
10.35,32,82,14,25
9.62,52,79,14,25
10.43,50,76,14,25
9.59,48,73,14,25
10.36,47,70,14,25
9.65,45,66,14,25
10.37,44,64,14,25
9.65,45,60,14,25
10.31,42,57,14,25
9.7,41,54,14,25
10.29,38,52,14,25
9.74,35,49,15,25
10.23,34,46,15,25
9.78,34,44,15,25
10.22,29,42,15,25
9.8,31,39,15,25
10.22,30,37,16,25
9.78,30,34,16,25
10.24,29,34,16,25
9.77,29,33,16,24
10.23,28,33,17,24
9.8,28,31,17,24
10.21,27,31,18,24
9.77,27,30,18,23
10.22,26,29,18,23
9.77,27,29,18,23
10.21,26,28,19,23
9.79,25,27,19,22
10.21,25,36,37,22
9.07,25,45,37,22
11.68,24,46,37,22
9.07,24,49,43,21
9.26,24,43,43,21
10.01,24,44,46,21
9.99,25,46,46,21
10.72,25,46,46,22
9.27,25,46,46,22
10.01,25,46,46,22
10,25,46,46,22
10.7,25,47,47,23
9.27,24,47,47,23
10.01,7,47,47,23
10,7,47,47,23
10.75,7,48,48,23
9.25,7,48,48,23
10,7,50,50,23
9.8,7,50,50,23
10.91,7,50,54,24
10.23,7,50,54,24
9.58,7,49,55,24
9.53,7,49,55,24
10.48,7,49,55,24
9.27,7,49,55,24
9.97,7,47,56,24
11.22,7,47,56,24
9.57,7,48,55,23
9.27,7,48,55,23
10.71,7,47,56,23
9.45,7,47,56,23
10.54,7,48,56,23
9.26,7,48,56,23
12.55,7,48,57,23
7.46,7,48,56,23
10.76,7,48,56,22
9.26,7,48,56,22
10.01,7,48,58,22
9.98,7,48,58,22
10.73,7,48,58,22
9.25,7,48,58,22
10.75,7,48,58,22
9.25,7,48,58,22
10.09,7,48,58,22
9.91,7,48,58,22
10.73,7,48,58,22
9.27,7,49,58,22
10.73,7,49,58,22
9.27,7,49,58,22
9.79,7,49,58,22
10.4,7,48,58,22
10.52,7,48,57,22
9.5,7,48,57,22
9.57,7,48,57,22
11.54,7,48,57,22
8.69,7,48,57,23
11.58,7,49,57,23
8.2,7,49,57,23
10.22,7,49,57,23
9.98,7,49,57,23
9.98,7,49,57,23
9.77,7,49,57,23
10.25,7,49,57,23
10.01,7,49,57,23
9.98,7,49,57,23
9.76,7,49,57,23
10.25,7,49,57,23
9.78,7,48,57,23
10.4,7,48,57,23
9.49,7,48,57,23
10.34,7,48,57,23
9.77,7,49,57,23
10.37,7,49,57,23
9.51,7,49,57,23
10.55,7,49,57,23
9.54,7,49,57,23
10.24,7,49,57,23
9.63,7,49,57,23
10.58,7,49,57,23
10.54,7,49,57,23
9.38,7,49,57,23
10.61,7,49,57,23
9.45,7,49,57,23
10.96,7,49,57,23
8.9,7,49,57,23
9.55,7,49,57,23
10.55,7,49,57,23
9.58,7,49,57,23
10.28,7,49,57,23
9.54,7,49,57,23
10.58,7,49,57,23
9.65,7,49,57,22
10.21,7,49,57,22
9.55,7,49,58,22
10.55,7,49,58,22
9.55,7,49,46,22
10.29,7,50,46,22
9.58,7,50,19,22
12.03,7,50,20,22
8.09,7,50,20,21
10.26,7,49,20,21
9.52,7,49,20,21
10.63,7,49,20,21
9.54,7,47,20,21
10.4,7,47,20,21
9.35,7,50,20,21
10.62,7,50,20,21
10.04,7,48,20,21
9.84,7,48,20,21
9.49,7,48,20,21
10.6,7,47,20,21
9.62,22,46,20,21
10.32,23,45,20,21
9.41,23,44,20,21
10.59,22,43,20,21
9.62,22,42,20,21
10.35,21,40,20,21
9.43,21,39,20,21
10.55,21,38,19,21
9.64,22,37,19,22
10.54,22,37,19,22
9.26,22,36,19,22
10.59,22,35,19,22
9.91,22,34,19,22
10.05,22,33,19,22
9.46,22,33,19,22
10.5,21,32,19,22
9.59,21,30,19,22
9.87,21,29,19,22
10,21,28,20,22
10.9,22,27,20,22
9.22,21,25,20,22
9.85,21,24,20,22
10.38,20,23,20,22
9.62,20,21,20,22
10.15,19,21,21,21
9.82,19,21,21,21
10.07,19,22,21,21
9.91,19,23,21,21
10.45,19,23,21,20
10.4,18,24,22,20
9.14,18,24,22,20
10.04,18,25,22,20
10.1,18,25,22,19
9.88,18,25,22,19
9.87,18,25,22,19
10.13,18,25,22,19
10.04,17,26,22,19
9.94,17,26,22,19
10.02,17,26,23,19
9.87,17,26,23,19
10.18,16,26,23,18
9.87,16,27,23,18
