timestamp,Physic_1,Physic_2,Physic_3,Physical_4
9.49,74,141,142,12414
10.5,72,141,142,12414
9.97,73,142,142,12671
10.03,73,142,142,12414
9.5,71,142,141,12414
10.51,72,143,141,12670
9.74,72,143,141,12670
10.25,72,143,141,12670
9.51,70,143,141,12670
10.49,70,143,141,12670
10.77,70,143,140,12927
9.63,70,143,140,12927
9.07,70,143,137,12927
10.53,70,142,137,12927
9.71,68,142,127,12927
10.49,68,142,127,12927
9.27,68,143,114,13186
10.53,68,143,114,13186
9.72,68,142,108,13442
10.4,68,142,108,13442
9.38,66,139,102,13702
10.72,64,136,102,13962
10.81,64,136,94,14218
9.06,61,130,95,14224
9.41,57,128,85,14225
10.69,57,128,85,14225
9.04,54,121,77,14489
10.82,51,119,77,14489
9.42,54,119,62,14489
10.66,51,113,62,14761
9.36,38,113,45,14505
10.51,37,111,45,14500
9.72,39,103,30,14509
10.28,33,103,30,14507
9.48,35,100,12,13995
10.49,36,100,12,13994
9.5,36,96,12,13997
10.64,32,96,12,13997
9.35,31,94,12,13743
10.5,33,94,12,13743
9.53,32,91,13,13743
11.62,30,89,13,13742
8.38,31,89,13,13486
10.74,32,93,14,13480
9.47,34,93,14,13480
10.45,34,91,14,13482
9.31,34,91,14,13226
10.57,35,93,14,13215
9.44,37,91,14,13203
10.47,36,88,14,13207
9.56,33,85,14,13197
10.35,32,82,14,13174
9.62,52,79,14,13168
10.43,50,76,14,13169
9.59,48,73,14,13163
10.36,47,70,14,13164
9.65,45,66,14,13158
10.37,44,64,14,13157
9.65,45,60,14,13151
10.31,42,57,14,13154
9.7,41,54,14,13149
10.29,38,52,14,13155
9.74,35,49,15,13150
10.23,34,46,15,13149
9.78,34,44,15,13150
10.22,29,42,15,13148
9.8,31,39,15,13144
10.22,30,37,16,13142
9.78,30,34,16,13139
10.24,29,34,16,13140
9.77,29,33,16,12626
10.23,28,33,17,12629
9.8,28,31,17,12627
10.21,27,31,18,12627
9.77,27,30,18,12114
10.22,26,29,18,12113
9.77,27,29,18,12112
10.21,26,28,19,12113
9.79,25,27,19,11344
10.21,25,36,37,11361
9.07,25,45,37,11385
11.68,24,46,37,11390
9.07,24,49,43,11145
9.26,24,43,43,11124
10.01,24,44,46,11128
9.99,25,46,46,11128
10.72,25,46,46,11640
9.27,25,46,46,11641
10.01,25,46,46,11639
10,25,46,46,11639
10.7,25,47,47,12157
9.27,24,47,47,12194
10.01,7,47,47,12202
10,7,47,47,12203
10.75,7,48,48,12208
9.25,7,48,48,12208
10,7,50,50,12247
9.8,7,50,50,12247
10.91,7,50,54,12759
10.23,7,50,54,12759
9.58,7,49,55,12759
9.53,7,49,55,12759
10.48,7,49,55,12759
9.27,7,49,55,12759
9.97,7,47,56,12757
11.22,7,47,56,12757
9.57,7,48,55,12245
9.27,7,48,55,12245
10.71,7,47,56,12245
9.45,7,47,56,12245
10.54,7,48,56,12245
9.26,7,48,56,12245
12.55,7,48,57,12243
7.46,7,48,56,12243
10.76,7,48,56,11731
9.26,7,48,56,11731
10.01,7,48,58,11731
9.98,7,48,58,11731
10.73,7,48,58,11731
9.25,7,48,58,11731
10.75,7,48,58,11731
9.25,7,48,58,11731
10.09,7,48,58,11731
9.91,7,48,58,11731
10.73,7,48,58,11731
9.27,7,49,58,11731
10.73,7,49,58,11731
9.27,7,49,58,11731
9.79,7,49,58,11731
10.4,7,48,58,11731
10.52,7,48,57,11731
9.5,7,48,57,11733
9.57,7,48,57,11733
11.54,7,48,57,11733
8.69,7,48,57,12245
11.58,7,49,57,12245
8.2,7,49,57,12245
10.22,7,49,57,12245
9.98,7,49,57,12245
9.98,7,49,57,12245
9.77,7,49,57,12245
10.25,7,49,57,12245
10.01,7,49,57,12245
9.98,7,49,57,12245
9.76,7,49,57,12245
10.25,7,49,57,12245
9.78,7,48,57,12245
10.4,7,48,57,12245
9.49,7,48,57,12245
10.34,7,48,57,12245
9.77,7,49,57,12245
10.37,7,49,57,12245
9.51,7,49,57,12245
10.55,7,49,57,12245
9.54,7,49,57,12245
10.24,7,49,57,12245
9.63,7,49,57,12245
10.58,7,49,57,12245
10.54,7,49,57,12245
9.38,7,49,57,12245
10.61,7,49,57,12245
9.45,7,49,57,12245
10.96,7,49,57,12245
8.9,7,49,57,12245
9.55,7,49,57,12245
10.55,7,49,57,12245
9.58,7,49,57,12245
10.28,7,49,57,12245
9.54,7,49,57,12243
10.58,7,49,57,12243
9.65,7,49,57,11731
10.21,7,49,57,11731
9.55,7,49,58,11731
10.55,7,49,58,11730
9.55,7,49,46,11474
10.29,7,50,46,11475
9.58,7,50,19,11475
12.03,7,50,20,11474
8.09,7,50,20,10960
10.26,7,49,20,10961
9.52,7,49,20,10961
10.63,7,49,20,10961
9.54,7,47,20,10961
10.4,7,47,20,10961
9.35,7,50,20,10960
10.62,7,50,20,10960
10.04,7,48,20,10961
9.84,7,48,20,10961
9.49,7,48,20,10943
10.6,7,47,20,10896
9.62,22,46,20,10900
10.32,23,45,20,10896
9.41,23,44,20,10889
10.59,22,43,20,10892
9.62,22,42,20,10887
10.35,21,40,20,10887
9.43,21,39,20,10883
10.55,21,38,19,10881
9.64,22,37,19,11390
10.54,22,37,19,11390
9.26,22,36,19,11387
10.59,22,35,19,11388
9.91,22,34,19,11641
10.05,22,33,19,11641
9.46,22,33,19,11640
10.5,21,32,19,11638
9.59,21,30,19,11634
9.87,21,29,19,11630
10,21,28,20,11628
10.9,22,27,20,11625
9.22,21,25,20,11366
9.85,21,24,20,11363
10.38,20,23,20,11360
9.62,20,21,20,11357
10.15,19,21,21,10847
9.82,19,21,21,10848
10.07,19,22,21,10849
9.91,19,23,21,10850
10.45,19,23,21,10339
10.4,18,24,22,10343
9.14,18,24,22,10344
10.04,18,25,22,10347
10.1,18,25,22,9835
9.88,18,25,22,9838
9.87,18,25,22,9838
10.13,18,25,22,9839
10.04,17,26,22,9843
9.94,17,26,22,9843
10.02,17,26,23,9844
9.87,17,26,23,9845
10.18,16,26,23,9333
9.87,16,27,23,9334
9.89,16,27,23,9334
10.87,16,27,23,9334
9.42,16,27,23,9334
9.71,17,26,23,9332
9.97,17,26,23,9332
9.73,17,26,23,9330
10.49,17,26,23,9330
9.87,17,25,23,9329
11.68,16,25,23,9329
8.22,16,25,23,9329
10.25,16,25,23,9328
9.74,16,25,23,9328
10.12,16,25,23,9327
9.86,16,24,23,9329
10.01,16,24,23,9329
10.01,16,25,23,9330
10.01,16,25,23,9330
10.1,16,25,23,9329
9.94,16,25,23,9330
10.02,16,25,23,9330
11.74,16,25,23,9333
8.23,16,25,23,9333
10.08,15,25,23,9334
9.91,15,24,23,9332
9.78,15,24,23,9331
10.41,15,24,23,9336
10.2,15,24,23,9336
9.47,14,24,23,9337
9.89,14,24,23,9337
10.22,14,24,23,9337
10.24,14,24,23,9340
9.63,14,24,23,9340
10.02,14,24,23,9342
9.88,14,24,23,9342
10.25,14,24,23,9340
9.76,14,24,23,9340
10.02,14,24,23,9340
10.09,14,24,23,9343
9.89,14,24,23,9343
10.02,14,24,23,9345
10.01,14,24,23,9345
10.02,14,24,23,9345
10.06,14,24,24,9346
9.9,14,24,24,9346
10.04,13,24,24,9349
9.98,13,24,24,9349
9.97,13,24,24,9093
10.11,13,24,24,9094
9.88,13,24,24,9094
9.99,13,24,24,9096
10.02,13,24,24,9096
9.97,13,24,24,9096
9.9,13,25,24,9097
10.11,13,25,24,9097
10.03,13,25,24,9098
9.74,13,25,24,9098
10.02,13,25,24,9098
10.11,13,25,24,9100
10.1,13,25,24,9100
10.23,13,25,24,9100
9.6,13,25,24,9101
9.98,13,25,24,9101
10.15,13,25,24,9102
9.82,13,25,24,9102
10.29,12,25,24,9102
9.75,12,25,24,9101
10.23,12,24,24,9098
9.83,12,24,24,9098
9.89,12,24,24,9097
10,12,24,24,9097
10.24,12,24,24,9098
10.25,12,24,24,9098
9.62,12,24,24,9099
9.9,12,24,24,9099
10.01,12,24,24,9099
11.54,12,24,24,9101
8.33,12,24,24,9101
9.99,12,24,24,9101
10.13,12,24,24,9101
9.85,12,24,24,9101
10.06,12,24,24,9102
10.05,12,24,24,9101
10.15,12,24,24,9102
9.72,12,24,24,9103
10.07,12,24,24,9103
9.97,12,24,24,9101
10.1,12,24,24,9101
9.81,12,24,24,9101
10.71,12,24,24,9105
9.35,12,24,24,9105
10.13,12,24,24,9104
9.79,12,24,24,9104
9.96,12,24,24,9104
10.16,11,25,24,9112
10.05,11,25,24,9112
10.2,11,25,24,9118
9.59,11,25,24,9117
10.64,11,24,24,9115
9.6,11,24,24,8859
9.78,11,24,24,8858
9.92,11,24,24,8857
10.2,11,24,24,8860
9.99,11,24,24,8859
9.86,11,24,24,8858
9.93,11,24,24,8858
10.07,11,24,24,8854
10.13,11,24,24,8859
9.83,11,24,24,8859
9.93,11,24,24,8859
11.18,11,24,24,8857
9.02,11,24,24,8857
9.84,11,24,24,8861
9.9,11,24,24,8861
10.11,11,24,24,8861
10.13,11,24,24,8862
9.83,11,24,24,8862
9.93,11,24,24,8862
11.07,11,24,24,8859
9.13,11,24,24,8859
9.85,11,24,24,8864
9.91,11,24,24,8864
10.05,11,24,24,8864
10.19,11,24,24,8862
9.81,11,24,24,8867
9.92,11,24,24,8867
12,11,24,24,8881
8.16,10,24,24,8881
9.87,10,25,24,8881
9.92,10,24,24,8868
10.44,10,24,24,8868
9.83,10,24,24,8866
9.76,10,24,24,8863
10.01,10,24,24,8861
9.97,10,24,24,8859
10.16,10,24,24,8859
9.84,10,24,24,8860
9.9,10,24,24,8859
10.05,10,24,24,8858
10.18,10,24,24,8861
9.83,10,24,24,8861
9.97,10,24,24,8861
10.02,10,24,24,8870
10.05,10,24,24,8870
9.98,10,24,24,8870
9.94,10,24,24,8882
9.96,10,24,24,8882
10.17,10,24,24,8878
10.37,10,24,24,8878
9.46,10,24,24,8878
9.99,10,24,24,8878
10.16,10,24,24,8878
10.3,10,24,24,8878
9.5,10,24,24,8878
10.01,10,24,24,8878
10.11,10,24,24,8878
9.92,10,24,24,8879
9.92,10,24,24,8879
10,10,24,24,8879
10.17,10,24,24,8879
9.84,10,24,24,8879
9.98,10,24,25,8879
10.72,10,24,25,8879
9.36,10,24,25,8879
9.9,10,24,25,8879
9.97,10,24,25,8879
10.07,10,24,25,8879
10.02,10,24,25,8623
9.95,10,24,25,8624
10,10,24,25,8624
10.06,10,24,25,8621
9.99,11,24,25,8621
9.89,11,24,25,8621
9.93,11,24,25,8621
10.1,11,24,25,8621
10.05,11,24,25,8621
9.9,11,24,25,8621
9.96,11,24,25,8621
10.08,11,24,25,8621
10.1,11,24,25,8621
9.81,11,24,25,8621
10,11,24,25,8621
10.08,11,24,25,8622
10.03,10,24,25,8622
9.85,10,24,25,8622
10.85,10,24,25,8622
9.21,10,24,25,8622
10.06,10,24,25,8622
9.93,10,24,25,8622
9.89,10,24,24,8622
10.42,10,24,24,8622
9.77,10,24,24,8622
9.78,10,24,24,8622
9.97,10,24,25,8622
10.05,10,24,25,8622
10.12,10,24,25,8622
9.79,10,24,25,8618
10.09,11,24,25,8618
10.01,11,24,25,8619
10.08,11,24,25,8619
9.8,11,24,25,8619
10.02,11,24,25,8619
10.01,11,24,25,8619
10.13,11,24,25,8619
10.21,11,24,25,8619
9.61,11,24,25,8619
10.03,11,24,25,8619
10.13,11,24,25,8619
9.79,11,24,25,8619
10.21,11,24,25,8619
9.87,11,24,25,8620
10.1,11,25,25,8620
9.78,11,25,25,8620
10.01,11,25,25,8620
10.27,11,24,25,8617
9.87,12,24,25,8105
9.81,12,24,25,8105
10.06,12,24,25,8105
10.14,12,24,25,8106
10.01,11,24,25,8106
9.53,11,24,25,8106
11.25,11,24,25,8106
9.1,11,24,25,8106
10.05,12,25,25,8106
9.84,11,25,26,8106
9.96,11,25,26,8106
10.09,11,25,26,8106
10.08,11,25,25,8106
9.79,11,25,25,8106
10.04,11,25,25,8106
10.06,11,25,25,8107
10.09,11,25,25,8107
9.78,11,25,25,8107
10.05,11,25,25,8107
10.05,11,25,26,8107
9.94,11,25,26,8107
10.05,11,25,26,8103
9.83,12,25,26,8103
10.14,12,25,26,8103
9.96,12,25,26,7591
10.04,12,25,27,7591
9.85,12,25,27,7591
10.08,12,26,26,7591
11.07,12,26,26,7591
8.87,12,26,26,7591
9.93,13,26,26,7591
10.11,13,26,26,7592
10.09,12,26,26,7592
9.93,12,26,26,7592
9.87,12,26,26,7592
10.06,12,26,26,7592
10.12,12,26,26,7592
9.85,13,26,27,7592
9.9,13,26,27,7592
10.12,13,26,27,7592
10.06,13,26,27,7076
10.1,14,26,27,7077
9.68,13,26,27,7077
10.1,14,27,27,7077
10.17,14,27,27,7077
9.81,14,27,27,7077
9.92,14,27,27,7077
10.14,14,27,27,7077
10.04,14,27,27,7077
9.86,14,27,27,7077
9.91,14,27,27,7077
10.05,14,27,27,7077
10.13,14,27,27,7077
9.86,14,27,27,7077
9.94,14,27,27,7077
10.04,14,27,28,7078
10.16,14,28,28,7078
9.9,14,28,28,7078
9.85,14,28,28,7078
10.06,14,28,28,7078
10.12,14,27,28,6562
9.92,15,27,28,6562
9.92,15,27,28,6562
9.99,15,28,29,6562
10.16,15,28,28,6562
9.83,15,28,28,6562
10,15,28,28,6562
9.97,15,28,28,6562
10.17,15,28,28,6562
9.84,15,28,30,6562
9.98,15,28,30,6562
9.98,15,28,30,6562
10.15,15,28,30,6562
9.87,15,29,30,6562
9.98,15,29,29,6562
9.98,15,29,29,6563
10.17,15,29,29,6563
9.84,15,30,29,6563
11.56,15,30,29,6563
8.39,15,30,29,6563
10.11,16,30,29,6563
9.98,16,30,29,6563
9.87,16,30,29,6561
10,16,30,29,6563
10.49,16,30,29,6545
10.89,16,30,29,6541
8.64,16,30,29,6543
10.18,16,30,29,6542
9.95,17,30,29,6029
9.81,17,30,29,6028
9.99,17,30,29,6028
10.04,17,29,28,6018
11.59,17,29,28,6018
8.34,17,30,28,6020
9.99,17,30,28,6019
10.14,17,30,28,6017
9.96,17,30,28,6018
9.89,17,30,28,6018
10.25,17,30,28,6019
9.85,17,30,28,6016
9.96,17,30,28,6018
9.91,17,30,29,6020
9.97,17,30,28,6018
10.1,17,30,28,6018
10.08,17,30,29,6020
9.83,17,30,28,6018
10.04,17,30,28,6016
10,17,30,28,6017
10.08,17,30,28,6015
9.84,17,29,28,6010
9.98,18,29,28,6010
10.07,18,29,28,6009
10.37,18,29,28,6012
9.57,18,29,28,6014
9.96,17,29,28,6015
10.07,17,29,28,6015
10.17,17,29,28,6016
9.68,17,29,28,6016
10.03,17,30,28,6021
10.07,17,30,29,6025
10.12,17,30,28,6021
9.76,17,30,28,6022
10.01,17,29,28,6017
10.13,16,29,28,6015
9.97,17,29,28,6528
9.85,17,30,28,6532
10.13,17,30,29,6534
10.99,17,31,29,6543
9.07,17,31,29,6545
9.77,17,31,30,6549
10.07,17,31,30,6549
10.02,17,31,30,6553
10.16,17,31,30,6553
9.72,17,31,30,6549
10.04,17,31,29,6545
10.04,17,30,29,6541
10.1,17,30,29,6537
9.78,17,29,28,6530
10.01,17,29,28,6528
10.13,17,29,28,6526
10.06,17,29,28,6525
9.77,17,28,28,6523
10.03,17,28,28,6523
10.05,17,28,28,6524
10.18,17,28,28,6523
9.72,17,28,28,6525
10.02,17,29,28,6525
10.15,17,29,28,6526
10,17,29,28,6526
10.13,17,29,28,6527
9.63,17,29,29,6532
10.94,17,30,29,6539
9.25,17,30,29,6539
9.8,17,30,29,6533
9.99,17,30,29,6534
10.08,17,30,29,6537
10.54,17,30,29,6533
9.36,17,30,29,6536
10.04,17,30,29,6539
10.02,17,30,29,6536
10.1,17,30,29,6534
9.9,17,30,29,6537
9.97,17,30,29,6537
10.14,17,30,29,6537
9.96,17,30,29,6538
9.86,17,30,29,6537
10,17,30,29,6535
10.03,17,30,29,6535
10.11,17,30,29,6535
9.88,17,30,29,6537
9.93,17,30,29,6538
10.13,17,30,29,6537
10,17,30,29,6537
9.85,17,30,29,6540
9.99,17,31,30,6546
10.06,17,31,31,6562
10.08,17,30,29,6537
9.85,17,30,29,6537
9.98,17,30,29,6534
10.05,17,30,29,6535
10.06,17,30,30,6540
9.93,17,30,29,6537
9.53,17,30,29,6532
10.42,17,30,29,6532
10.12,17,30,29,6531
9.86,17,30,29,6534
10.06,17,30,29,6534
10,17,30,29,6533
10.04,17,30,29,6532
9.94,17,30,29,6532
9.94,17,30,29,6532
9.99,17,30,29,6535
10.17,17,30,29,6534
9.84,17,31,32,6562
9.98,17,31,32,6562
10.34,17,31,32,6562
11.38,17,31,46,6562
8.27,17,31,46,6562
9.99,17,32,56,6562
9.99,17,32,56,6562
10.06,17,32,63,6562
9.99,17,32,63,6562
10.24,17,32,70,6562
10.31,17,32,70,6562
9.44,17,32,77,6562
9.97,19,36,77,6563
9.79,19,36,80,6563
10.01,19,36,80,6562
10.27,20,36,83,6562
9.71,22,40,83,6560
10.18,22,40,88,6560
9.99,22,40,88,6560
9.99,24,44,99,6558
10,25,44,99,6557
9.76,26,44,103,6557
10.23,29,48,103,6572
9.99,20,48,103,6572
9.76,20,48,103,6572
10,20,48,109,6572
10.23,22,53,108,6574
9.76,21,53,111,7086
10.05,21,53,111,7086
9.98,24,60,111,7080
10.01,27,60,110,7080
10.17,27,60,112,7080
9.76,30,67,112,7074
10.05,35,67,114,7074
10.01,35,67,114,7074
10.16,35,67,116,7074
9.82,39,75,115,7072
9.94,40,75,115,7072
10.22,40,75,115,7072
10,45,84,118,8093
9.8,46,84,118,8093
9.95,46,84,117,8093
10.01,50,90,117,7820
10.04,61,90,120,8588
9.98,65,96,120,8326
10.34,66,96,119,8326
9.61,66,96,118,8328
10.23,67,99,119,8582
9.78,66,99,119,8585
9.98,63,99,118,8585
10.08,65,103,118,8584
10.14,65,103,118,8840
9.75,67,105,118,8589
9.98,58,105,117,8589
10.07,58,105,117,8590
10.3,58,108,118,9102
9.63,58,108,118,9102
10.02,58,109,116,9104
10.04,57,109,116,9104
10.18,58,111,118,9870
9.67,57,111,118,9871
10.04,56,111,116,9871
10.05,56,112,116,9873
10.23,55,112,117,10641
9.63,55,113,117,10642
10.01,54,113,116,10642
10.11,54,114,116,10643
10.03,54,114,118,11923
9.83,54,114,118,11919
10.01,60,114,118,11919
10.11,60,114,118,11918
10,59,114,118,12430
9.85,59,115,118,12172
10.02,58,115,118,12172
10.07,59,116,118,11914
10.04,60,116,118,12426
9.85,60,117,118,12426
10.14,60,117,118,12426
9.95,61,118,118,12427
10.04,61,118,118,12683
9.86,61,119,118,12681
10.02,63,119,118,12681
10.04,62,118,118,12681
10.06,62,118,118,12681
9.91,63,119,118,12682
9.99,62,119,118,12682
10.01,62,119,118,12682
11.04,62,119,118,12682
8.98,62,119,118,12682
10,62,119,118,12682
10.01,62,119,118,12682
10,62,119,117,12939
9.81,63,119,117,12939
9.99,63,120,117,12939
10.23,63,120,117,12939
10,63,120,117,12937
9.77,63,120,117,12937
9.97,63,120,117,12940
11.75,62,120,117,12940
8.81,62,120,117,13196
9.74,62,120,117,12938
9.64,62,120,116,12938
10.12,62,121,116,12939
10.26,62,121,116,13195
9.6,62,121,116,13195
9.97,62,121,116,13195
10.09,63,122,116,13196
10.75,63,122,116,13198
9.21,63,122,116,13198
9.9,63,123,115,13196
10.21,63,123,115,13196
10,63,122,115,13455
9.93,63,122,115,13455
9.85,63,122,115,13456
10.08,62,123,115,13455
10.11,62,123,115,13455
9.85,62,123,115,13711
9.94,62,123,115,13711
10.14,61,123,115,13713
10.78,61,123,114,13713
9.1,61,122,114,13713
9.95,60,122,114,13713
10.11,60,122,114,13713
10.08,60,122,114,13713
11.39,60,122,114,13713
8.35,60,122,114,13713
10.09,60,122,114,13713
10.18,60,122,114,13969
9.79,60,122,114,13969
9.95,60,122,113,13969
10.09,60,121,113,13969
10.1,59,121,111,13972
9.84,58,121,111,13972
9.94,58,121,109,13972
10.03,58,121,109,13972
10.14,57,120,110,13972
9.85,57,120,110,13974
9.92,56,120,107,13974
10.04,55,117,107,13974
10.15,53,117,106,13974
9.91,53,117,106,13980
10.52,44,116,101,13981
9.38,44,116,101,13980
10.17,46,114,97,13721
9.85,46,114,97,13721
10.04,45,112,91,13723
11.26,43,112,91,13722
9.27,44,111,85,13724
9.37,43,109,85,13985
10.01,40,109,82,13985
9.97,40,107,82,13983
9.94,42,107,79,13727
10.06,40,102,79,13988
10.1,36,99,75,13992
9.88,34,99,75,13991
10.16,35,96,72,13993
9.96,32,96,72,13993
9.85,31,93,66,13996
9.99,30,93,66,13996
10.17,29,90,59,13741
11.09,28,88,59,13741
8.75,29,88,52,13741
9.96,28,86,52,13742
10.44,27,86,43,13742
9.56,26,83,43,13491
10.12,23,83,31,13491
9.82,22,79,32,13496
10.2,19,79,12,13496
9.83,18,76,12,13498
9.93,17,76,12,13496
10.11,17,77,12,13499
10.01,17,77,12,13243
9.89,17,74,12,13500
10,17,74,12,13498
10.07,18,76,12,13498
10.01,17,73,12,13248
9.89,15,73,12,13248
9.97,16,73,12,13227
10.49,18,71,12,13193
9.6,38,70,12,13192
9.93,38,68,12,13185
10.01,37,66,12,13190
10.38,36,64,12,13182
9.68,35,62,12,12673
9.88,34,60,12,12667
9.99,34,58,12,12667
10.01,32,56,12,12661
10.06,33,54,12,12144
9.9,31,52,13,12148
9.96,31,51,13,12144
10.1,29,49,13,12144
10.08,29,47,13,11627
9.83,28,45,14,11628
9.99,28,44,14,11624
10.15,27,42,14,11624
9.97,27,40,14,11108
9.83,26,39,15,11111
10.02,25,39,15,11109
10.07,24,37,16,11109
10.04,23,36,16,10338
9.81,23,35,16,10336
10.04,24,33,17,10334
10.07,24,32,17,10332
10.1,24,31,18,9817
9.76,24,30,18,9815
10.01,23,29,18,9813
10.08,24,29,18,9812
10.1,24,29,18,9300
9.82,24,30,19,9301
9.97,24,30,19,9301
10.1,24,31,20,9303
10.08,24,31,20,9047
9.79,24,31,20,9048
10.01,23,32,20,9049
10.04,23,32,20,9049
10.12,23,32,20,9049
9.79,23,32,20,9049
10.03,23,32,20,9049
10.13,23,32,20,9049
9.87,23,32,20,9049
9.95,23,31,20,9048
10.08,23,31,21,9047
10.03,24,31,21,9047
9.97,23,31,21,9047
9.85,23,30,21,9046
10.01,23,30,21,9045
10.1,23,29,21,9045
10.07,23,29,21,8788
9.8,23,29,21,8788
10.98,23,28,21,8787
9.07,23,28,21,8787
10.12,23,28,21,8787
9.78,23,27,21,8786
9.99,23,27,21,8786
10.07,23,27,21,8786
10.12,23,27,21,8785
9.8,23,26,21,8784
11.67,22,27,21,8786
8.38,22,27,21,8787
10.34,21,26,21,8788
10.08,21,26,21,8788
9.53,21,26,21,8787
10.12,21,25,21,8787
10.02,21,25,21,8787
9.95,21,25,21,8787
9.81,20,25,21,8789
10.1,20,25,21,8789
10.08,19,25,21,8790
9.87,19,24,22,8789
9.92,19,24,22,8789
10.1,19,24,22,8791
10.13,19,24,22,8790
9.84,19,24,22,8791
9.93,18,24,22,8794
10.09,18,24,22,8794
10.08,17,24,22,8794
11.35,17,24,22,8796
8.42,17,24,22,8796
10.2,16,24,22,8798
9.99,16,24,22,8798
9.85,16,24,22,8799
9.96,16,23,22,8799
10.07,16,23,22,8799
10.12,16,23,22,8798
9.87,15,23,22,8796
9.86,17,23,22,8796
10.07,17,23,22,8796
10.16,17,23,22,8797
9.83,17,23,22,8797
9.92,16,23,22,8799
10.68,16,23,22,8801
9.54,15,23,22,8801
9.9,15,24,22,8803
10.2,15,24,22,8803
10.09,15,24,22,8803
9.77,15,24,22,8805
9.82,15,24,22,8806
10.08,14,24,22,8806
9.9,14,24,23,8807
10.13,15,24,23,8551
9.86,15,25,23,8553
10.05,15,25,23,8556
9.9,15,25,23,8557
10.19,14,25,23,8557
9.8,14,25,23,8560
9.99,14,26,23,8562
10.03,14,26,23,8562
10.14,14,26,23,8562
9.83,15,26,23,8563
9.99,15,26,23,8563
9.97,14,26,24,8566
10.17,14,26,24,8566
9.84,14,26,24,8566
10.02,14,26,24,8569
9.95,14,26,24,8569
9.92,14,26,24,8566
10.1,14,26,24,8567
9.96,14,26,24,8567
10.22,14,26,24,8567
9.89,14,25,24,8567
9.88,14,25,24,8568
9.98,14,25,24,8568
10.01,14,25,24,8568
10.12,13,25,24,8568
9.88,13,25,24,8568
9.95,13,25,24,8568
10.1,13,25,24,8568
10.04,13,25,24,8567
9.87,13,25,24,8568
9.96,13,25,24,8568
10.11,13,25,24,8568
9.99,13,25,24,8569
9.9,13,25,24,8568
9.97,13,25,24,8568
10.08,13,25,24,8570
10.01,13,25,24,8570
9.89,13,25,24,8570
10.01,13,25,24,8571
10.03,13,25,24,8571
10.02,13,25,24,8571
9.91,13,25,24,8575
9.98,13,25,24,8574
10.07,13,25,24,8574
10.01,13,25,24,8574
9.91,13,25,24,8574
9.96,13,25,24,8574
10.11,13,25,24,8576
9.98,13,25,24,8576
9.92,13,25,24,8576
10.01,12,25,24,8578
10.04,13,25,24,8578
10.09,13,25,24,8066
9.86,13,25,24,8070
9.93,13,25,24,8070
10.1,13,25,24,8070
10.06,13,25,24,8073
9.78,12,25,24,8073
10.11,12,25,24,8073
10.01,12,25,24,8075
10.06,12,25,24,8075
10,12,25,24,8075
9.83,12,25,24,8074
10.04,12,25,24,8074
10.12,12,25,24,8586
9.79,11,25,24,8589
10,11,25,24,8589
10.42,11,25,24,8590
9.74,11,25,24,8588
9.82,11,25,24,8587
9.98,11,25,24,8587
10.04,11,25,24,8591
10.12,11,25,24,8591
9.83,11,25,24,8591
9.99,11,25,24,8591
10.09,11,25,24,8591
10.06,11,25,24,8591
9.91,11,25,24,8596
10,11,25,24,8596
10,11,25,24,8596
10.03,11,25,24,8597
9.73,11,25,24,8597
10.12,11,25,24,8597
10.08,11,25,24,8606
10.1,12,25,24,8094
9.71,12,25,24,8095
10.07,12,25,24,8092
10.17,12,25,24,8092
9.96,12,25,24,8092
10.24,12,25,24,8105
9.57,12,25,24,8105
9.98,12,25,24,8105
10.21,12,25,24,8105
10.12,12,25,24,8105
9.64,12,25,24,8105
10.44,12,25,24,8105
10.35,12,25,24,8105
9.25,12,25,24,8105
9.92,12,25,24,8094
10.94,11,25,24,8094
9.24,11,25,24,8606
9.89,11,25,24,8609
11.09,11,25,24,8609
8.91,11,25,24,8609
10.08,11,25,24,8609
