,timestamp,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
0,0.02902,21,2A,2B,30,2,90,69,29
1,0.03886,20,2B,2B,30,2,90,6F,34
2,0.04892,20,2B,2B,30,2,90,71,0
3,0.05890,20,2B,2B,30,2,90,71,11
4,0.06946,20,2B,2B,30,2,90,71,22
5,0.07882,1F,2A,2B,30,2,90,6D,37
6,0.08882,1F,2A,2B,30,2,90,6C,5
7,0.09891,20,2A,2B,30,2,90,6C,16
8,0.10899,20,2A,2B,30,2,90,6C,27
9,0.11879,20,2A,2B,30,2,90,6C,38
10,0.12879,20,2A,2B,30,2,90,6A,7
11,0.13890,20,2A,2B,30,2,90,6A,18
12,0.14895,20,2A,2B,30,2,90,6A,29
13,0.15878,20,2A,2B,30,2,90,6A,3A
14,0.16872,1F,2A,2B,30,2,90,6D,4
15,0.17891,1F,2A,2B,30,2,90,6D,15
16,0.18893,1F,2A,2B,30,2,90,6D,26
17,0.19891,1F,2A,2B,30,2,90,6D,37
18,0.20866,1F,2A,2B,30,2,90,6D,4
19,0.21876,1F,2A,2B,30,2,90,6F,13
20,0.22886,1F,2A,2B,30,2,90,6F,24
21,0.23868,1F,2A,2B,30,2,90,6E,36
22,0.24867,1F,2A,2B,30,2,90,6E,3
23,0.25873,1F,2A,2B,30,2,90,6F,13
24,0.26885,1F,2A,2B,30,2,90,6C,27
25,0.27870,1F,2A,2B,30,2,90,6C,38
26,0.28864,1F,2A,2B,30,2,90,6C,5
27,0.29871,1F,2A,2B,30,2,90,6C,16
28,0.30878,1F,2A,2B,30,2,90,6C,27
29,0.31873,1F,2A,2A,30,2,90,6C,39
30,0.32861,1F,29,2A,30,2,90,6B,8
31,0.33867,1F,2A,2A,30,2,90,6C,17
32,0.34878,1F,29,2A,30,2,90,6B,2A
33,0.35862,1F,2A,2B,30,2,90,6C,38
34,0.36854,1F,2A,2B,30,2,90,6C,5
35,0.37875,1F,2A,2B,30,2,90,6C,16
36,0.39001,1F,2A,2B,30,2,90,6C,27
37,0.39872,1F,2A,2B,30,2,90,6F,35
38,0.40849,1F,2A,2B,30,2,90,6E,3
39,0.41860,1F,2A,2B,30,2,90,6E,14
40,0.42869,1F,2A,2B,30,2,90,6F,24
41,0.43854,1F,2A,2B,30,2,90,6E,36
42,0.44851,1F,2A,2A,30,2,90,6C,6
43,0.45856,1F,2A,2B,30,2,90,6D,15
44,0.46875,1F,2A,2A,30,2,90,6C,28
45,0.47851,1F,2A,2B,30,2,90,6C,38
46,0.48848,1F,2A,2B,30,2,90,6D,4
47,0.49849,1F,2A,2A,30,2,90,6C,17
48,0.50862,1F,2A,2A,30,2,90,6C,28
49,0.51848,1F,2A,2B,30,2,90,6C,38
50,0.52843,1F,2A,2A,30,2,90,6C,6
