,timestamp,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,label
0,0.02902,21,2A,2B,30,2,90,69,29,0
1,0.03886,20,2B,2B,30,2,90,6F,34,0
2,0.04892,20,2B,2B,30,2,90,71,0,0
3,0.05890,20,2B,2B,30,2,90,71,11,0
4,0.06946,20,2B,2B,30,2,90,71,22,0
5,0.07882,1F,2A,2B,30,2,90,6D,37,0
6,0.08882,1F,2A,2B,30,2,90,6C,5,0
7,0.09891,20,2A,2B,30,2,90,6C,16,0
8,0.10899,20,2A,2B,30,2,90,6C,27,0
9,0.11879,20,2A,2B,30,2,90,6C,38,0
10,0.12879,20,2A,2B,30,2,90,6A,7,0
11,0.13890,20,2A,2B,30,2,90,6A,18,0
12,0.14895,20,2A,2B,30,2,90,6A,29,0
13,0.15878,20,2A,2B,30,2,90,6A,3A,0
14,0.16872,1F,2A,2B,30,2,90,6D,4,0
15,0.17891,1F,2A,2B,30,2,90,6D,15,0
16,0.18893,1F,2A,2B,30,2,90,6D,26,0
17,0.19891,1F,2A,2B,30,2,90,6D,37,0
18,0.20866,1F,2A,2B,30,2,90,6D,4,0
19,0.21876,1F,2A,2B,30,2,90,6F,13,0
20,0.22886,1F,2A,2B,30,2,90,6F,24,0
21,0.23868,1F,2A,2B,30,2,90,6E,36,0
22,0.24867,1F,2A,2B,30,2,90,6E,3,0
23,0.25873,1F,2A,2B,30,2,90,6F,13,0
24,0.26885,1F,2A,2B,30,2,90,6C,27,0
25,0.27870,1F,2A,2B,30,2,90,6C,38,0
26,0.28864,1F,2A,2B,30,2,90,6C,5,0
27,0.29871,1F,2A,2B,30,2,90,6C,16,0
28,0.30878,1F,2A,2B,30,2,90,6C,27,0
29,0.31873,1F,2A,2A,30,2,90,6C,39,0
30,0.32861,1F,29,2A,30,2,90,6B,8,0
31,0.33867,1F,2A,2A,30,2,90,6C,17,0
32,0.34878,1F,29,2A,30,2,90,6B,2A,0
33,0.35862,1F,2A,2B,30,2,90,6C,38,0
34,0.36854,1F,2A,2B,30,2,90,6C,5,0
35,0.37875,1F,2A,2B,30,2,90,6C,16,0
36,0.39001,1F,2A,2B,30,2,90,6C,27,0
37,0.39872,1F,2A,2B,30,2,90,6F,35,0
38,0.40849,1F,2A,2B,30,2,90,6E,3,0
39,0.41860,1F,2A,2B,30,2,90,6E,14,0
