timestamp,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,label
9.84,32,43,43,48,2,144,111,52,0
10.06,32,43,43,48,2,144,113,0,0
9.98,32,43,43,48,2,144,113,17,0
10.56,32,43,43,48,2,144,113,34,0
9.36,31,42,43,48,2,144,109,55,0
10,31,42,43,48,2,144,108,5,0
10.09,32,42,43,48,2,144,108,22,0
10.08,32,42,43,48,2,144,108,39,0
9.8,32,42,43,48,2,144,108,56,0
10,32,42,43,48,2,144,106,7,0
10.11,32,42,43,48,2,144,106,24,0
10.05,32,42,43,48,2,144,106,41,0
9.83,32,42,43,48,2,144,106,58,0
9.94,31,42,43,48,2,144,109,4,0
10.19,31,42,43,48,2,144,109,21,0
10.02,31,42,43,48,2,144,109,38,0
9.98,31,42,43,48,2,144,109,55,0
9.75,31,42,43,48,2,144,109,4,0
10.1,31,42,43,48,2,144,111,19,0
10.1,31,42,43,48,2,144,111,36,0
9.82,31,42,43,48,2,144,110,54,0
9.99,31,42,43,48,2,144,110,3,0
10.06,31,42,43,48,2,144,111,19,0
10.12,31,42,43,48,2,144,108,39,0
9.85,31,42,43,48,2,144,108,56,0
9.94,31,42,43,48,2,144,108,5,0
10.07,31,42,43,48,2,144,108,22,0
10.07,31,42,43,48,2,144,108,39,0
9.95,31,42,42,48,2,144,108,57,0
9.88,31,41,42,48,2,144,107,8,0
10.06,31,42,42,48,2,144,108,23,0
10.11,31,41,42,48,2,144,107,42,0
9.84,31,42,43,48,2,144,108,56,0
9.92,31,42,43,48,2,144,108,5,0
10.21,31,42,43,48,2,144,108,22,0
11.26,31,42,43,48,2,144,108,39,0
8.71,31,42,43,48,2,144,111,53,0
9.77,31,42,43,48,2,144,110,3,0
10.11,31,42,43,48,2,144,110,20,0
10.09,31,42,43,48,2,144,111,36,0
9.85,31,42,43,48,2,144,110,54,0
9.97,31,42,42,48,2,144,108,6,0
10.05,31,42,43,48,2,144,109,21,0
10.19,31,42,42,48,2,144,108,40,0
9.76,31,42,43,48,2,144,108,56,0
9.97,31,42,43,48,2,144,109,4,0
10.01,31,42,42,48,2,144,108,23,0
10.13,31,42,42,48,2,144,108,40,0
9.86,31,42,43,48,2,144,108,56,0
9.95,31,42,42,48,2,144,108,6,0
10.03,31,41,42,48,2,144,107,25,0
10.16,31,42,42,48,2,144,108,40,0
10.1,31,41,42,48,2,144,107,59,0
9.65,31,42,43,48,2,144,108,5,0
10.04,31,42,43,48,2,144,108,22,0
10.17,31,42,43,48,2,144,110,37,0
9.96,31,42,43,48,2,144,110,54,0
9.77,31,42,43,48,2,144,110,3,0
11.11,31,42,43,48,2,144,110,20,0
9.12,31,42,43,48,2,144,110,37,0
9.85,31,42,43,48,2,144,110,54,0
9.98,31,42,43,48,2,144,109,4,0
9.97,31,42,43,48,2,144,110,20,0
10.26,31,42,43,48,2,144,109,38,0
9.73,31,42,43,48,2,144,110,54,0
9.98,31,42,43,48,2,144,110,3,0
10,31,42,43,48,2,144,109,21,0
10.15,31,42,43,48,2,144,110,37,0
9.85,31,42,43,48,2,144,109,55,0
9.96,31,42,43,48,2,144,108,5,0
10.01,31,42,43,48,2,144,109,21,0
10.19,31,42,43,48,2,144,109,38,0
9.83,31,42,43,48,2,144,108,56,0
10.13,32,42,43,48,2,144,110,3,0
9.97,32,42,43,48,2,144,110,20,0
10.05,32,42,43,48,2,144,109,38,0
9.93,32,42,43,48,2,144,110,54,0
9.99,32,42,43,48,2,144,109,4,0
9.85,32,42,43,48,2,144,109,21,0
10.02,32,42,43,48,2,144,109,38,0
9.99,32,42,43,48,2,144,110,54,0
11.4,32,42,43,48,2,144,109,4,0
8.56,32,42,43,48,2,144,108,22,0
10.48,32,42,43,48,2,144,107,40,0
9.52,32,42,43,48,2,144,108,56,0
9.95,32,42,43,48,2,144,108,5,0
10.01,32,42,43,48,2,144,108,22,0
10.1,32,42,43,48,2,144,109,38,0
9.9,32,42,43,48,2,144,109,55,0
9.95,32,42,43,48,2,144,109,4,0
10.09,32,42,43,48,2,144,109,21,0
10.03,32,42,43,48,2,144,109,38,0
9.88,31,42,43,48,2,144,114,51,0
10.14,31,42,43,48,2,144,115,15,0
9.99,31,43,43,48,2,144,116,30,0
10.54,31,42,43,48,2,144,115,33,0
9.21,31,42,43,48,2,144,110,54,0
9.98,31,42,43,48,2,144,110,3,0
10.11,32,42,43,48,2,144,110,20,0
10.06,32,42,43,48,2,144,111,36,0
10.08,32,42,43,48,2,144,110,54,0
9.82,31,42,43,48,2,144,109,4,0
10.1,31,42,43,48,2,144,109,21,0
10,31,42,42,48,2,144,108,40,0
9.89,31,42,43,48,2,144,109,55,0
9.96,32,42,43,48,2,144,109,4,0
10.04,32,42,43,48,2,144,108,22,0
10.05,32,42,43,48,2,144,108,39,0
9.93,32,42,43,48,2,144,109,55,0
9.95,32,42,43,48,2,144,109,4,0
10.1,32,43,43,48,2,144,113,17,0
10.12,32,43,43,48,2,144,115,32,0
9.77,31,43,43,48,2,144,115,49,0
10.14,31,43,43,48,2,144,116,13,0
9.98,31,43,43,48,2,144,114,16,0
10,31,42,43,48,2,144,113,35,0
9.99,31,42,43,48,2,144,114,51,0
9.97,31,43,43,48,2,144,115,14,0
10,31,42,43,48,2,144,114,17,0
10.01,31,42,43,48,2,144,111,36,0
9.72,31,42,43,48,2,144,111,53,0
10.23,31,42,43,48,2,144,110,3,0
10.03,32,42,43,48,2,144,110,20,0
10,32,42,43,48,2,144,110,37,0
9.7,32,42,43,48,2,144,109,55,0
0.5,32,42,43,48,2,144,109,55,1
0.5,32,42,43,48,2,144,109,55,1
0.5,32,42,43,48,2,144,109,55,1
20.25,32,42,43,48,2,144,109,4,1
10.64,32,42,43,48,2,144,109,21,0
9.85,32,42,43,48,2,144,109,38,0
9.73,32,42,42,48,2,144,108,57,0
10.23,32,42,43,48,2,144,111,2,0
